vendor_count,product_count,is_chain,total orders,Orders on Weekend,Orders on week,Orders in the morning,Orders in the afternoon,Orders in night,American Cuisine,Asian Cuisine,European Cuisine,Snacks & Beverages,Other Cuisine,total_amount_spent,order_frequency,age_group,frequency_segment,American_ratio,Asian_ratio,European_ratio,Snacks_Beverages_ratio,Other_Cuisine_ratio,avg_vendor_use,last_promo_DISCOUNT,last_promo_FREEBIE,last_promo_No Discount,payment_method_CASH,payment_method_DIGI
-0.4065270504273944,-0.012147327196039387,-0.5305024618365373,1,0.6208417503537575,-1.0371243739540035,-0.7302281365828454,0.06600539550373379,-0.5430770883369437,-0.4434733576152716,0.5460687132811411,-0.3520382305038728,-0.4417177422961477,-0.45518194781130944,-0.17135166158752704,-1.6280070445412567,0,1,-0.5195547863462778,1.5086198161956552,-0.38968795344181245,-0.5664517325292605,-0.5805731547248673,-1.1837050485745706,0.0,0.0,0.0,0.0,1.0
-0.4065270504273944,-0.6352550167859324,-0.1798323005842189,1,0.6208417503537575,-1.0371243739540035,0.4339803343381185,-0.7839578592941392,-0.5430770883369437,0.7991320270631299,-0.37749580636414404,-0.3520382305038728,-0.4417177422961477,-0.45518194781130944,-0.432085838557397,-1.6280070445412567,0,1,1.9423895463306278,-0.184507511837965,-0.38968795344181245,-0.5664517325292605,-0.5805731547248673,1.1738525589831197,1.0,0.0,0.0,0.0,1.0
-0.8397445658097088,-0.6352550167859324,-0.1798323005842189,1,0.6208417503537575,-1.0371243739540035,0.4339803343381185,-0.7839578592941392,-0.5430770883369437,0.44825593560167787,-0.6399047561433069,-0.3520382305038728,-0.4417177422961477,-0.45518194781130944,-0.7019875046864973,-1.6280070445412567,1,1,3.169520925878633,-1.0284297915676712,-0.38968795344181245,-0.5664517325292605,-0.5805731547248673,-0.790778780648289,1.0,0.0,0.0,1.0,0.0
-0.4065270504273944,-0.42755245358930144,-0.5305024618365373,2,-0.09402923808786125,-0.6639519934173247,-0.1481239011223634,-0.3589762318952027,-0.5430770883369437,-0.4434733576152716,0.6561244230476757,-0.3520382305038728,-0.4417177422961477,-0.45518194781130944,-0.09909027645006567,-1.5940144019478975,1,1,-0.5195547863462778,1.5086198161956552,-0.38968795344181245,-0.5664517325292605,-0.5805731547248673,-0.13590166743781962,0.0,0.0,0.0,0.0,1.0
-0.4065270504273944,-0.012147327196039387,-0.8811726230888557,2,-0.09402923808786125,-0.6639519934173247,0.4339803343381185,-0.7839578592941392,-0.5430770883369437,0.968754446968528,1.0384448177963466,-0.3520382305038728,-0.4417177422961477,-0.45518194781130944,0.5447910209688067,-1.5940144019478975,0,1,0.44995879819767876,0.8418663388307263,-0.38968795344181245,-0.5664517325292605,-0.5805731547248673,-1.1837050485745706,0.0,0.0,1.0,0.0,1.0
-0.4065270504273944,-0.6352550167859324,-0.8811726230888557,2,-0.09402923808786125,-0.6639519934173247,-0.7302281365828454,-0.7839578592941392,0.8928822163788023,-0.4434733576152716,0.38344908243208253,-0.3520382305038728,-0.4417177422961477,-0.45518194781130944,-0.278125947089149,-1.5940144019478975,1,1,-0.5195547863462778,1.5086198161956552,-0.38968795344181245,-0.5664517325292605,-0.5805731547248673,1.1738525589831197,0.0,1.0,0.0,0.0,1.0
-0.4065270504273944,-0.6352550167859324,-0.1798323005842189,2,-0.09402923808786125,-0.6639519934173247,-0.1481239011223634,-0.3589762318952027,-0.5430770883369437,0.1264579732668657,-0.6399047561433069,-0.3520382305038728,-0.34668843389729753,-0.45518194781130944,-0.7502516387895032,-1.5940144019478975,1,1,2.407808936714785,-1.0284297915676712,-0.38968795344181245,0.09922102387865538,-0.5805731547248673,1.1738525589831197,0.0,0.0,1.0,0.0,0.0
-0.4065270504273944,-0.42755245358930144,-0.1798323005842189,2,-0.09402923808786125,-0.6639519934173247,-0.7302281365828454,-0.3589762318952027,0.17490256402092932,0.6915429492945632,-0.6399047561433069,-0.3520382305038728,1.073782339358717,-0.45518194781130944,0.023592299063161713,-1.5940144019478975,1,1,0.6767641444250794,-1.0284297915676712,-0.38968795344181245,1.6120098137912022,-0.5805731547248673,-0.13590166743781962,1.0,0.0,0.0,0.0,1.0
0.02669046495492002,-0.21984989039267042,-0.1798323005842189,3,0.6208417503537575,-0.6639519934173247,-0.7302281365828454,0.06600539550373379,0.17490256402092932,-0.17692384062107475,-0.6399047561433069,-0.3520382305038728,-0.4417177422961477,0.6764412740595098,-0.5607003188207146,-1.560021759354538,0,1,0.18300464638353556,-1.0284297915676712,-0.38968795344181245,-0.5664517325292605,2.0187989844419687,0.19153688916741532,1.0,0.0,0.0,0.0,1.0
-0.4065270504273944,-0.42755245358930144,-0.8811726230888557,2,-0.09402923808786125,-0.6639519934173247,-0.7302281365828454,-0.7839578592941392,0.8928822163788023,-0.4434733576152716,0.6939047413257398,-0.3520382305038728,-0.4417177422961477,-0.45518194781130944,-0.07428412931332523,-1.560021759354538,0,1,-0.5195547863462778,1.5086198161956552,-0.38968795344181245,-0.5664517325292605,-0.5805731547248673,-0.13590166743781962,0.0,0.0,0.0,0.0,0.0
-0.4065270504273944,-0.21984989039267042,-0.1798323005842189,2,-0.09402923808786125,-0.6639519934173247,-0.1481239011223634,-0.3589762318952027,-0.5430770883369437,0.21272308967589668,-0.17545323470319238,-0.3520382305038728,-0.4417177422961477,-0.45518194781130944,-0.46255425841013265,-1.560021759354538,0,1,0.8618081877556384,0.5586294486869322,-0.38968795344181245,-0.5664517325292605,-0.5805731547248673,-0.790778780648289,0.0,0.0,0.0,1.0,0.0
-0.4065270504273944,-0.42755245358930144,-0.5305024618365373,2,-0.09402923808786125,-0.6639519934173247,-0.7302281365828454,0.06600539550373379,-0.5430770883369437,-0.4434733576152716,1.1879234683747744,-0.3520382305038728,-0.4417177422961477,-0.45518194781130944,0.2500832077029662,-1.5260291167611786,0,1,-0.5195547863462778,1.5086198161956552,-0.38968795344181245,-0.5664517325292605,-0.5805731547248673,-0.13590166743781962,0.0,0.0,0.0,0.0,0.0
-0.4065270504273944,-0.42755245358930144,-0.5305024618365373,2,-0.09402923808786125,-0.6639519934173247,-0.7302281365828454,-0.7839578592941392,0.8928822163788023,-0.4434733576152716,0.4774892224937856,-0.3520382305038728,-0.4417177422961477,-0.45518194781130944,-0.21638021128139287,-1.5260291167611786,1,1,-0.5195547863462778,1.5086198161956552,-0.38968795344181245,-0.5664517325292605,-0.5805731547248673,-0.13590166743781962,1.0,0.0,0.0,0.0,1.0
-0.4065270504273944,-0.6352550167859324,-0.8811726230888557,2,-0.09402923808786125,-0.6639519934173247,-0.1481239011223634,-0.7839578592941392,0.17490256402092932,-0.4434733576152716,0.33006385008264405,-0.3520382305038728,-0.4417177422961477,-0.45518194781130944,-0.3131781115214997,-1.5260291167611786,1,1,-0.5195547863462778,1.5086198161956552,-0.38968795344181245,-0.5664517325292605,-0.5805731547248673,1.1738525589831197,0.0,0.0,1.0,0.0,1.0
-0.4065270504273944,-0.6352550167859324,-0.1798323005842189,2,-0.09402923808786125,-0.6639519934173247,0.4339803343381185,-0.7839578592941392,-0.5430770883369437,-0.4434733576152716,-0.23335567902066023,-0.3520382305038728,-0.4417177422961477,-0.45518194781130944,-0.6831132622998469,-1.5260291167611786,0,1,-0.5195547863462778,1.5086198161956552,-0.38968795344181245,-0.5664517325292605,-0.5805731547248673,1.1738525589831197,0.0,0.0,1.0,1.0,0.0
-0.4065270504273944,-0.6352550167859324,-0.1798323005842189,2,-0.09402923808786125,-0.6639519934173247,0.4339803343381185,-0.7839578592941392,-0.5430770883369437,-0.4434733576152716,-0.11467620095152405,-0.3520382305038728,-0.06097940210990501,-0.45518194781130944,-0.4399051675461522,-1.5260291167611786,2,1,-0.5195547863462778,0.686626470762823,-0.38968795344181245,0.4780926620369103,-0.5805731547248673,1.1738525589831197,0.0,1.0,0.0,0.0,0.0
-0.8397445658097088,-0.6352550167859324,-0.1798323005842189,2,-0.09402923808786125,-0.6639519934173247,-0.7302281365828454,0.06600539550373379,-0.5430770883369437,0.35908300627998296,-0.6399047561433069,-0.3520382305038728,-0.4417177422961477,-0.45518194781130944,-0.7267936518232376,-1.4920364741678194,1,1,3.169520925878633,-1.0284297915676712,-0.38968795344181245,-0.5664517325292605,-0.5805731547248673,-0.790778780648289,0.0,0.0,0.0,1.0,0.0
